name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,rating,description,verified,source,opening_hours
Station Rue Liancourt,station_carburant,,Rue du Général de Gaulle,Liancourt,France,49.32593,2.46409,true,false,true,false,false,,"⛽ Diesel, E10, SP98. (60140 Liancourt)",true,prix_carburants_gouv,
Station Lieu Fontenilles,station_carburant,,Lieu dit La Pichette - 1 place Campariol,Fontenilles,France,43.54734,1.19208,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 🚗 Lavage auto  🚗 Lavage  💳 CB 24h/24. (31470 Fontenilles)",true,prix_carburants_gouv,Ouvert 24h/24
Station 10 Saint-Rémy-sur-Durolle,station_carburant,,10 ROUTE DU LAC,Saint-Rémy-sur-Durolle,France,45.889,3.596,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 💳 CB 24h/24. (63550 Saint-Rémy-sur-Durolle)",true,prix_carburants_gouv,Ouvert 24h/24
Station AV Tremblay-en-France,station_carburant,,AV GILBERT BERGER,Tremblay-en-France,France,48.946746,2.570488,true,false,true,false,false,,"⛽ Diesel, SP95, E10. 🚗 Lavage  💳 DAB. (93290 Tremblay-en-France)",true,prix_carburants_gouv,
Station Autoroute Beuzeville,station_carburant,,"Autoroute A13, sens Caen-Paris",Beuzeville,France,49.320195,0.3197,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (27210 Beuzeville)",true,prix_carburants_gouv,
Station Avenue Aubigny-sur-Nère,station_carburant,,Avenue de Paris,Aubigny-sur-Nère,France,47.498,2.441,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🚻 Toilettes  🔧 Gonflage  🔵 Gaz  💳 DAB. (18700 Aubigny-sur-Nère)",true,prix_carburants_gouv,
Station ROUTE Pougues-les-Eaux,station_carburant,,ROUTE DE PARIS,Pougues-les-Eaux,France,47.07736,3.09879,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 💳 DAB. (58320 Pougues-les-Eaux)",true,prix_carburants_gouv,
"Station 68, Firminy",station_carburant,,"68, boulevard Fayol",Firminy,France,45.388,4.298,true,false,true,false,false,,"⛽ Diesel, SP95, E85, E10. 🛒 Boutique  🔵 Gaz  💳 CB 24h/24  💳 DAB. (42700 Firminy)",true,prix_carburants_gouv,Ouvert 24h/24
Station Route Bourganeuf,station_carburant,,Route de Bénévent,Bourganeuf,France,45.96,1.76,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🚻 Toilettes  📦 Relais colis  🔵 Gaz  💳 CB 24h/24. (23400 Bourganeuf)",true,prix_carburants_gouv,Ouvert 24h/24
Station CENTRE Lacaune,station_carburant,,CENTRE COMMERCIAL BEL AIR - ZA DE BEL AIR,Lacaune,France,43.712304,2.70691,true,false,true,false,false,,"⛽ Diesel, E10, SP98. (81230 Lacaune)",true,prix_carburants_gouv,
