name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,has_toilets,has_shade,has_dog_area,has_fuel,rating,description,verified,source
Waarloos-Oost,station_carburant,autoroute,,,France,51.0982554,4.4377264,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Waarloos-West,station_carburant,autoroute,,,France,51.0977594,4.4364676,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Folkestone 24 hour Services,station_carburant,autoroute,,,France,51.094939,1.0448082,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Stop24 Folkestone Services,station_carburant,autoroute,,,France,51.0949098,1.0440853,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Stop24 Folkestone Services,station_carburant,autoroute,,,France,51.0948411,1.0450384,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Autohof Malsfeld,station_carburant,autoroute,,Malsfeld,France,51.0866287,9.4867184,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Malsfeld),TRUE,osm
Parking Kalken (Noord),station_carburant,autoroute,,,France,51.0720678,3.9206126,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Tessenderlo,station_carburant,autoroute,,,France,51.0707275,5.1460896,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,51.0704997,5.1479916,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Parking Kalken (Zuid),station_carburant,autoroute,,,France,51.0698744,3.9205767,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Het Anker,station_carburant,autoroute,,,France,51.0576797,5.8255221,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Handcross,station_carburant,autoroute,,,France,51.056485,-0.200801,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,51.0506599,-0.2018822,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Rustplaats Gentbrugge-Noord,station_carburant,autoroute,,,France,51.0425148,3.7840178,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Rustplaats Gentbrugge-Zuid,station_carburant,autoroute,,,France,51.0417444,3.7834708,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Hasselberg West,station_carburant,autoroute,,,France,51.0360282,9.4861088,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Hasselberg Ost,station_carburant,autoroute,,,France,51.0357551,9.4885294,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Dienstenzone Drongen-Noord,station_carburant,autoroute,,,France,51.0352234,3.6378329,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Dienstenzone Drongen-Zuid,station_carburant,autoroute,,,France,51.0333294,3.6386996,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Halveweg / Zolder,station_carburant,autoroute,,,France,51.0120249,5.3324082,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Swentibold,station_carburant,autoroute,,,France,51.011481,5.8007158,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,51.0077167,2.1183596,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,51.0066142,9.4734092,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Autohof Homberg/Efze A7,station_carburant,autoroute,,Knüllwald,France,51.0057068,9.4803688,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Knüllwald),TRUE,osm
Bedburger Land Ost,station_carburant,autoroute,,,France,51.0054636,6.5209461,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Bedburger Land West,station_carburant,autoroute,,,France,51.0044637,6.5211841,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Grande Synthe,station_carburant,autoroute,,,France,51.004151,2.3041863,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Buck Barn,station_carburant,autoroute,,,France,50.9915733,-0.3413704,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.9852272,5.8441169,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Nazareth-Noord,station_carburant,autoroute,,,France,50.9734385,3.6143902,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
